"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,74,"ETH","Ethiopia",1,"Addis Abeba","ET.AA",0,"14","Astedader","City","","Addis Ababa|Addis Ababa|Adis-Abeba|Adis Abeba"
2,74,"ETH","Ethiopia",2,"Afar","ET.AF",0,"02","Kilil","State",""," "
3,74,"ETH","Ethiopia",3,"Amhara","ET.AM",0,"03","Kilil","State","","Amara"
4,74,"ETH","Ethiopia",4,"Benshangul-Gumaz","ET.BE",0,"06","Kilil","State","","Beneshangul Gumu"
5,74,"ETH","Ethiopia",5,"Dire Dawa","ET.DD",0,"15","Astedader","City",""," "
6,74,"ETH","Ethiopia",6,"Gambela Peoples","ET.GA",0,"12","Kilil","State","","Gambela"
7,74,"ETH","Ethiopia",7,"Harari People","ET.HA",0,"13","Kilil","State","","Hareri"
8,74,"ETH","Ethiopia",8,"Oromia","ET.OR",0,"04","Kilil","State","","Oromiya"
9,74,"ETH","Ethiopia",9,"Somali","ET.SO",0,"05","Kilil","State","","Sumale"
10,74,"ETH","Ethiopia",10,"Southern Nations, Nationalities and Peoples","ET.SN",0,"07","Kilil","State","","SNNPR"
11,74,"ETH","Ethiopia",11,"Tigray","ET.TI",0,"01","Kilil","State","","Tegré|Tigrai|Tigre"
