"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,74,"ETH","Ethiopia",1,"Addis Abeba",1,"Addis Abeba","",NA,"","Zone","Zone",""," "
2,74,"ETH","Ethiopia",1,"Addis Abeba",1,"Addis Abeba","",NA,"1401","Zone","Zone",""," "
3,74,"ETH","Ethiopia",2,"Afar",2,"Afar Zone 1","",NA,"0201","Zone","Zone",""," "
4,74,"ETH","Ethiopia",2,"Afar",3,"Afar Zone 2","",NA,"0202","Zone","Zone",""," "
5,74,"ETH","Ethiopia",2,"Afar",4,"Afar Zone 3","",NA,"0203","Zone","Zone",""," "
6,74,"ETH","Ethiopia",2,"Afar",5,"Afar Zone 4","",NA,"0204","Zone","Zone",""," "
7,74,"ETH","Ethiopia",2,"Afar",6,"Afar Zone 5","",NA,"0205","Zone","Zone",""," "
8,74,"ETH","Ethiopia",3,"Amhara",7,"Agew Awi","",NA,"0309","Zone","Zone",""," "
9,74,"ETH","Ethiopia",3,"Amhara",8,"Argoba","",NA,"0312","Special Woreda","Zone",""," "
10,74,"ETH","Ethiopia",3,"Amhara",9,"Bahir Dar Special Zone","",NA,"0311","Zone","Zone",""," "
11,74,"ETH","Ethiopia",3,"Amhara",10,"Debub Gondar","",NA,"0302","Zone","Zone","","South Gondar"
12,74,"ETH","Ethiopia",3,"Amhara",11,"Debub Wollo","",NA,"0304","Zone","Zone","","South Wollo"
13,74,"ETH","Ethiopia",3,"Amhara",12,"Mirab Gojjam","",NA,"0307","Zone","Zone","","West Gojjam"
14,74,"ETH","Ethiopia",3,"Amhara",13,"Misraq Gojjam","",NA,"0306","Zone","Zone","","East Gojjam"
15,74,"ETH","Ethiopia",3,"Amhara",14,"North Shewa","",NA,"0305","Zone","Zone","","Semen Shewa"
16,74,"ETH","Ethiopia",3,"Amhara",15,"Oromia","",NA,"0310","Zone","Zone",""," "
17,74,"ETH","Ethiopia",3,"Amhara",16,"Semen Gondar","",NA,"0301","Zone","Zone","","North Gondar"
18,74,"ETH","Ethiopia",3,"Amhara",17,"Semen Wello","",NA,"0303","Zone","Zone","","North Wollo"
19,74,"ETH","Ethiopia",3,"Amhara",18,"Wag Himra","",NA,"0308","Zone","Zone",""," "
20,74,"ETH","Ethiopia",4,"Benshangul-Gumaz",19,"Asosa","",NA,"0603","Zone","Zone",""," "
21,74,"ETH","Ethiopia",4,"Benshangul-Gumaz",20,"Kemashi","",NA,"0604","Zone","Zone",""," "
22,74,"ETH","Ethiopia",4,"Benshangul-Gumaz",21,"Metekel","",NA,"0602","Zone","Zone",""," "
23,74,"ETH","Ethiopia",5,"Dire Dawa",22,"Dire Dawa","",NA,"1501","Zone","Zone",""," "
24,74,"ETH","Ethiopia",6,"Gambela Peoples",23,"Agnuak","",NA,"1202","Zone","Zone",""," "
25,74,"ETH","Ethiopia",6,"Gambela Peoples",24,"Majang","",NA,"1203","Zone","Zone",""," "
26,74,"ETH","Ethiopia",6,"Gambela Peoples",25,"Nuer","",NA,"1201","Zone","Zone",""," "
27,74,"ETH","Ethiopia",7,"Harari People",26,"Hareri","",NA,"1301","Zone","Zone",""," "
28,74,"ETH","Ethiopia",8,"Oromia",27,"Arsi","",NA,"0408","Zone","Zone",""," "
29,74,"ETH","Ethiopia",8,"Oromia",28,"Bale","",NA,"0411","Zone","Zone",""," "
30,74,"ETH","Ethiopia",8,"Oromia",29,"Borena","",NA,"0412","Zone","Zone",""," "
31,74,"ETH","Ethiopia",8,"Oromia",30,"Debub Mirab Shewa","",NA,"0413","Zone","Zone","","South West Shewa"
32,74,"ETH","Ethiopia",8,"Oromia",31,"Guji","",NA,"0414","Zone","Zone",""," "
33,74,"ETH","Ethiopia",8,"Oromia",32,"Horo Guduru","",NA,"0419","Zone","Zone",""," "
34,74,"ETH","Ethiopia",8,"Oromia",33,"Ilubabor","",NA,"0403","Zone","Zone",""," "
35,74,"ETH","Ethiopia",8,"Oromia",34,"Jimma","",NA,"0404","Zone","Zone",""," "
36,74,"ETH","Ethiopia",8,"Oromia",35,"Kelem Wellega","",NA,"0418","Zone","Zone",""," "
37,74,"ETH","Ethiopia",8,"Oromia",36,"Mirab Arsi","",NA,"0417","Zone","Zone","","West Arsi"
38,74,"ETH","Ethiopia",8,"Oromia",37,"Mirab Hararghe","",NA,"0409","Zone","Zone","","West Harerge"
39,74,"ETH","Ethiopia",8,"Oromia",38,"Mirab Shewa","",NA,"0405","Zone","Zone","","West Shewa"
40,74,"ETH","Ethiopia",8,"Oromia",39,"Mirab Welega","",NA,"0401","Zone","Zone","","West Wellega"
41,74,"ETH","Ethiopia",8,"Oromia",40,"Misraq Harerge","",NA,"0410","Zone","Zone","","East Harerge"
42,74,"ETH","Ethiopia",8,"Oromia",41,"Misraq Shewa","",NA,"0407","Zone","Zone","","East Shewa"
43,74,"ETH","Ethiopia",8,"Oromia",42,"Misraq Wellega","",NA,"0402","Zone","Zone","","East Wellega"
44,74,"ETH","Ethiopia",8,"Oromia",43,"North Shewa","",NA,"0406","Zone","Zone","","Semen Shewa"
45,74,"ETH","Ethiopia",9,"Somali",44,"Afder","",NA,"0508","Zone","Zone",""," "
46,74,"ETH","Ethiopia",9,"Somali",45,"Doolo","",NA,"0507","Zone","Zone",""," "
47,74,"ETH","Ethiopia",9,"Somali",46,"Fafan","",NA,"0502","Zone","Zone",""," "
48,74,"ETH","Ethiopia",9,"Somali",47,"Jarar","",NA,"0503","Zone","Zone",""," "
49,74,"ETH","Ethiopia",9,"Somali",48,"Korahe","",NA,"0505","Zone","Zone",""," "
50,74,"ETH","Ethiopia",9,"Somali",49,"Liben","",NA,"0509","Zone","Zone",""," "
51,74,"ETH","Ethiopia",9,"Somali",50,"Nogob","",NA,"0504","Zone","Zone",""," "
52,74,"ETH","Ethiopia",9,"Somali",51,"Shabelle","",NA,"0506","Zone","Zone",""," "
53,74,"ETH","Ethiopia",9,"Somali",52,"Siti","",NA,"0501","Zone","Zone",""," "
54,74,"ETH","Ethiopia",10,"Southern Nations, Nationalities and Peoples",53,"Alaba","",NA,"0721","Special Woreda","Special Woreda",""," "
55,74,"ETH","Ethiopia",10,"Southern Nations, Nationalities and Peoples",54,"Alle","",NA,"0713","Special Woreda","Special Woreda","","Segen Peoples"
56,74,"ETH","Ethiopia",10,"Southern Nations, Nationalities and Peoples",55,"Amaro","",NA,"0713","Special Woreda","Special Woreda","","Segen Peoples"
57,74,"ETH","Ethiopia",10,"Southern Nations, Nationalities and Peoples",56,"Basketo","",NA,"0718","Special Woreda","Special Woreda",""," "
58,74,"ETH","Ethiopia",10,"Southern Nations, Nationalities and Peoples",57,"Bench Maji","",NA,"0711","Zone","Zone",""," "
59,74,"ETH","Ethiopia",10,"Southern Nations, Nationalities and Peoples",58,"Burji","",NA,"0713","Special Woreda","Special Woreda","","Segen Peoples"
60,74,"ETH","Ethiopia",10,"Southern Nations, Nationalities and Peoples",59,"Dawro","",NA,"0717","Zone","Zone",""," "
61,74,"ETH","Ethiopia",10,"Southern Nations, Nationalities and Peoples",60,"Debub Omo","",NA,"0707","Zone","Zone","","South Omo"
62,74,"ETH","Ethiopia",10,"Southern Nations, Nationalities and Peoples",61,"Derashe","",NA,"0713","Special Woreda","Special Woreda","","Segen Peoples"
63,74,"ETH","Ethiopia",10,"Southern Nations, Nationalities and Peoples",62,"Gamo Gofa","",NA,"0710","Zone","Zone",""," "
64,74,"ETH","Ethiopia",10,"Southern Nations, Nationalities and Peoples",63,"Gedeo","",NA,"0705","Zone","Zone",""," "
65,74,"ETH","Ethiopia",10,"Southern Nations, Nationalities and Peoples",64,"Gurage","",NA,"0701","Zone","Zone",""," "
66,74,"ETH","Ethiopia",10,"Southern Nations, Nationalities and Peoples",65,"Hadiya","",NA,"0702","Zone","Zone",""," "
67,74,"ETH","Ethiopia",10,"Southern Nations, Nationalities and Peoples",66,"Keffa","",NA,"0709","Zone","Zone",""," "
68,74,"ETH","Ethiopia",10,"Southern Nations, Nationalities and Peoples",67,"Kembata Tembaro","",NA,"0703","Zone","Zone",""," "
69,74,"ETH","Ethiopia",10,"Southern Nations, Nationalities and Peoples",68,"Konso","",NA,"0713","Special Woreda","Special Woreda","","Segen Peoples"
70,74,"ETH","Ethiopia",10,"Southern Nations, Nationalities and Peoples",69,"Konta","",NA,"0719","Special Woreda","Special Woreda",""," "
71,74,"ETH","Ethiopia",10,"Southern Nations, Nationalities and Peoples",70,"Sheka","",NA,"0708","Zone","Zone",""," "
72,74,"ETH","Ethiopia",10,"Southern Nations, Nationalities and Peoples",71,"Sidama","",NA,"0704","Zone","Zone",""," "
73,74,"ETH","Ethiopia",10,"Southern Nations, Nationalities and Peoples",72,"Silti","",NA,"0720","Zone","Zone",""," "
74,74,"ETH","Ethiopia",10,"Southern Nations, Nationalities and Peoples",73,"Wolayita","",NA,"0706","Zone","Zone",""," "
75,74,"ETH","Ethiopia",10,"Southern Nations, Nationalities and Peoples",74,"Yem","",NA,"0712","Special Woreda","Special Woreda",""," "
76,74,"ETH","Ethiopia",11,"Tigray",75,"Debubawi","",NA,"0104","Zone","Zone","","Southern"
77,74,"ETH","Ethiopia",11,"Tigray",76,"Mehakelegnaw","",NA,"0102","Zone","Zone","","Central"
78,74,"ETH","Ethiopia",11,"Tigray",77,"Mi'irabawi","",NA,"0105","Zone","Zone","","Western"
79,74,"ETH","Ethiopia",11,"Tigray",78,"Misraqawi","",NA,"0103","Zone","Zone","","Eastern "
80,74,"ETH","Ethiopia",11,"Tigray",79,"Semien Mi'irabaw","",NA,"0101","Zone","Zone","","North Western"
