"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","CCN_3","CCA_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,74,"ETH","Ethiopia",1,"Addis Abeba",1,"Addis Abeba",1,"Addis Ketema",NA,"140108","Woreda","District",""," "
2,74,"ETH","Ethiopia",1,"Addis Abeba",1,"Addis Abeba",2,"Akaki - Kalit",NA,"140101","Woreda","District",""," "
3,74,"ETH","Ethiopia",1,"Addis Abeba",1,"Addis Abeba",3,"Arada",NA,"140109","Woreda","District",""," "
4,74,"ETH","Ethiopia",1,"Addis Abeba",1,"Addis Abeba",4,"Bole",NA,"140104","Woreda","District",""," "
5,74,"ETH","Ethiopia",1,"Addis Abeba",1,"Addis Abeba",5,"Gulele",NA,"140110","Woreda","District",""," "
6,74,"ETH","Ethiopia",1,"Addis Abeba",1,"Addis Abeba",6,"Kirkos",NA,"140106","Woreda","District",""," "
7,74,"ETH","Ethiopia",1,"Addis Abeba",1,"Addis Abeba",7,"Kolfe - Keran",NA,"140103","Woreda","District",""," "
8,74,"ETH","Ethiopia",1,"Addis Abeba",1,"Addis Abeba",8,"Lideta",NA,"140105","Woreda","District",""," "
9,74,"ETH","Ethiopia",1,"Addis Abeba",1,"Addis Abeba",9,"Nefas Silk",NA,"140102","Woreda","District",""," "
10,74,"ETH","Ethiopia",1,"Addis Abeba",1,"Addis Abeba",10,"Yeka",NA,"140107","Woreda","District",""," "
11,74,"ETH","Ethiopia",2,"Afar",2,"Afar Zone 1",11,"Adaa'r",NA,"0201051","Woreda","District",""," "
12,74,"ETH","Ethiopia",2,"Afar",2,"Afar Zone 1",12,"Afambo",NA,"020104","Woreda","District",""," "
13,74,"ETH","Ethiopia",2,"Afar",2,"Afar Zone 1",13,"Aysaita",NA,"020103","Woreda","District",""," "
14,74,"ETH","Ethiopia",2,"Afar",2,"Afar Zone 1",14,"Chifra",NA,"020106","Woreda","District",""," "
15,74,"ETH","Ethiopia",2,"Afar",2,"Afar Zone 1",15,"Dubti",NA,"020101","Woreda","District",""," "
16,74,"ETH","Ethiopia",2,"Afar",2,"Afar Zone 1",16,"Elidar",NA,"020102","Woreda","District",""," "
17,74,"ETH","Ethiopia",2,"Afar",2,"Afar Zone 1",17,"Kurri",NA,"0201011","Woreda","District",""," "
18,74,"ETH","Ethiopia",2,"Afar",2,"Afar Zone 1",18,"Mile",NA,"020105","Woreda","District",""," "
19,74,"ETH","Ethiopia",2,"Afar",3,"Afar Zone 2",19,"Ab Ala",NA,"020203","Woreda","District",""," "
20,74,"ETH","Ethiopia",2,"Afar",3,"Afar Zone 2",20,"Afdera",NA,"020207","Woreda","District",""," "
21,74,"ETH","Ethiopia",2,"Afar",3,"Afar Zone 2",21,"Berahile",NA,"020205","Woreda","District",""," "
22,74,"ETH","Ethiopia",2,"Afar",3,"Afar Zone 2",22,"Bidu",NA,"0202071","Woreda","District",""," "
23,74,"ETH","Ethiopia",2,"Afar",3,"Afar Zone 2",23,"Dalul",NA,"020206","Woreda","District",""," "
24,74,"ETH","Ethiopia",2,"Afar",3,"Afar Zone 2",24,"Erebti",NA,"020201","Woreda","District",""," "
25,74,"ETH","Ethiopia",2,"Afar",3,"Afar Zone 2",25,"Koneba",NA,"020202","Woreda","District",""," "
26,74,"ETH","Ethiopia",2,"Afar",3,"Afar Zone 2",26,"Megale",NA,"020204","Woreda","District",""," "
27,74,"ETH","Ethiopia",2,"Afar",4,"Afar Zone 3",27,"Amibara",NA,"020301","Woreda","District",""," "
28,74,"ETH","Ethiopia",2,"Afar",4,"Afar Zone 3",28,"Argoba Special Woreda",NA,"020306","Woreda","District",""," "
29,74,"ETH","Ethiopia",2,"Afar",4,"Afar Zone 3",29,"Awash Fentale",NA,"020302","Woreda","District",""," "
30,74,"ETH","Ethiopia",2,"Afar",4,"Afar Zone 3",30,"Bure Mudaytu",NA,"020305","Woreda","District",""," "
31,74,"ETH","Ethiopia",2,"Afar",4,"Afar Zone 3",31,"Dulecha",NA,"020304","Woreda","District",""," "
32,74,"ETH","Ethiopia",2,"Afar",4,"Afar Zone 3",32,"Gewane",NA,"020303","Woreda","District",""," "
33,74,"ETH","Ethiopia",2,"Afar",5,"Afar Zone 4",33,"Awra",NA,"020401","Woreda","District",""," "
34,74,"ETH","Ethiopia",2,"Afar",5,"Afar Zone 4",34,"Ewa",NA,"020402","Woreda","District",""," "
35,74,"ETH","Ethiopia",2,"Afar",5,"Afar Zone 4",35,"Gulina",NA,"020405","Woreda","District",""," "
36,74,"ETH","Ethiopia",2,"Afar",5,"Afar Zone 4",36,"Teru",NA,"020403","Woreda","District",""," "
37,74,"ETH","Ethiopia",2,"Afar",5,"Afar Zone 4",37,"Yalo",NA,"020404","Woreda","District",""," "
38,74,"ETH","Ethiopia",2,"Afar",6,"Afar Zone 5",38,"Dalfagi",NA,"020504","Woreda","District",""," "
39,74,"ETH","Ethiopia",2,"Afar",6,"Afar Zone 5",39,"Dewe",NA,"020503","Woreda","District",""," "
40,74,"ETH","Ethiopia",2,"Afar",6,"Afar Zone 5",40,"Hadelela",NA,"020505","Woreda","District",""," "
41,74,"ETH","Ethiopia",2,"Afar",6,"Afar Zone 5",41,"Simurobi Gele'alo",NA,"020502","Woreda","District",""," "
42,74,"ETH","Ethiopia",2,"Afar",6,"Afar Zone 5",42,"Telalak",NA,"020501","Woreda","District",""," "
43,74,"ETH","Ethiopia",3,"Amhara",7,"Agew Awi",43,"Ankasha",NA,"030903","Woreda","District",""," "
44,74,"ETH","Ethiopia",3,"Amhara",7,"Agew Awi",44,"Banja",NA,"030902","Woreda","District",""," "
45,74,"ETH","Ethiopia",3,"Amhara",7,"Agew Awi",45,"Dangila",NA,"030901","Woreda","District",""," "
46,74,"ETH","Ethiopia",3,"Amhara",7,"Agew Awi",46,"Fagta Lakoma",NA,"030905","Woreda","District",""," "
47,74,"ETH","Ethiopia",3,"Amhara",7,"Agew Awi",47,"Guagusa Shikudad",NA,"030907","Woreda","District",""," "
48,74,"ETH","Ethiopia",3,"Amhara",7,"Agew Awi",48,"Guangua",NA,"030904","Woreda","District",""," "
49,74,"ETH","Ethiopia",3,"Amhara",7,"Agew Awi",49,"Jawi",NA,"030906","Woreda","District",""," "
50,74,"ETH","Ethiopia",3,"Amhara",8,"Argoba",50,"Argoba",NA,"031201","Woreda","District",""," "
51,74,"ETH","Ethiopia",3,"Amhara",9,"Bahir Dar Special Zone",51,"Bahir Dar",NA,"031101","Woreda","District",""," "
52,74,"ETH","Ethiopia",3,"Amhara",10,"Debub Gondar",52,"Dera",NA,"030209","Woreda","District",""," "
53,74,"ETH","Ethiopia",3,"Amhara",10,"Debub Gondar",53,"East Esite",NA,"030208","Woreda","District",""," "
54,74,"ETH","Ethiopia",3,"Amhara",10,"Debub Gondar",54,"Ebenat",NA,"030201","Woreda","District",""," "
55,74,"ETH","Ethiopia",3,"Amhara",10,"Debub Gondar",55,"Farta",NA,"030204","Woreda","District",""," "
56,74,"ETH","Ethiopia",3,"Amhara",10,"Debub Gondar",56,"Fogera",NA,"030203","Woreda","District",""," "
57,74,"ETH","Ethiopia",3,"Amhara",10,"Debub Gondar",57,"Lay Gayint",NA,"030205","Woreda","District",""," "
