"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,128,"LBY","Libya",1,"Al Butnan","LY.BN",NA,"","Shabiyah","District","<U+0644><U+0628><U+0637><U+0646><U+0627><U+0646>","Tobruk|Tubruq|Butnan"
2,128,"LBY","Libya",2,"Al Jabal al Akhdar","LY.JK",NA,"","Shabiyah","District","<U+0644><U+062C><U+0628><U+0644> <U+0627><U+0644><U+0623><U+062E><U+0636><U+0631>","Jabal al Akhdar|Jabal al-Akh<U+1E0D>ar|Jebel el-Akhdar"
3,128,"LBY","Libya",3,"Al Jabal al Gharbi","LY.JG",NA,"","Shabiyah","District","<U+0644><U+062C><U+0628><U+0644> <U+0627><U+0644><U+063A><U+0631><U+0628><U+064A>","Al Gabal al Gharbi"
4,128,"LBY","Libya",4,"Al Jifarah","LY.JR",NA,"","Shabiyah","District","<U+0644><U+062C><U+0641><U+0627><U+0631><U+0629>","Jafara|Al Jfara|Al Jfara|Al `Aziziyah|al-Ghifara|Al `Aziziyah"
5,128,"LBY","Libya",5,"Al Jufrah","LY.JF",NA,"","Shabiyah","District","<U+0644><U+062C><U+0641><U+0631><U+0629>","Jufra|Jofra|"
6,128,"LBY","Libya",6,"Al Kufrah","LY.KU",NA,"","Shabiyah","District","<U+0644><U+0643><U+0641><U+0631><U+0629>","al-Kufra|Kufra|Kofra|Cufra"
7,128,"LBY","Libya",7,"Al Marj","LY.MA",NA,"","Shabiyah","District","<U+0644><U+0645><U+0631><U+062C>","Marj|Al Marg"
8,128,"LBY","Libya",8,"Al Marqab","LY.MR",NA,"","Shabiyah","District","<U+0644><U+0645><U+0631><U+0642><U+0628>","Murqub|Al Murgub| al-Morqib"
9,128,"LBY","Libya",9,"Al Wahat","LY.AW",NA,"","Shabiyah","District","<U+0644><U+0648><U+0627><U+062D><U+0627><U+062A>","Al Wahat|Al Wahad|Al Wahah|Al Wa<U+1E25>at"
10,128,"LBY","Libya",10,"An Nuqat al Khams","LY.NK",NA,"","Shabiyah","District","<U+0644><U+0646><U+0642><U+0627><U+0637> <U+0627><U+0644><U+062E><U+0645><U+0633>","an-Niqat al-Hams|Nigat al Khums"
11,128,"LBY","Libya",11,"Az Zawiyah","LY.ZW",NA,"","Shabiyah","District","<U+0644><U+0632><U+0627><U+0648><U+064A><U+0629>","Az Zawiya|Zawiya"
12,128,"LBY","Libya",12,"Benghazi","LY.BG",NA,"","Shabiyah","District","<U+0628><U+0646><U+063A><U+0627><U+0632><U+064A><U+200E>","Banghazi"
13,128,"LBY","Libya",13,"Darnah","LY.DA",NA,"","Shabiyah","District","<U+062F><U+0631><U+0646><U+0629>","Darana|Darna|Derna"
14,128,"LBY","Libya",14,"Ghat","LY.GH",NA,"","Shabiyah","District","<U+063A><U+0627><U+062A><U+200E>","Gat"
15,128,"LBY","Libya",15,"Misratah","LY. MS",NA,"","Shabiyah","District","<U+0645><U+0635><U+0631><U+0627><U+062A><U+0647>","Misrata|Mi<U+1E63>ratah|M<U+0259><U+1E63>ratah"
16,128,"LBY","Libya",16,"Murzuq","LY.MU",NA,"","Shabiyah","District","<U+0645><U+0631><U+0632><U+0642><U+200E>",""
17,128,"LBY","Libya",17,"Nalut","LY.NT",NA,"","Shabiyah","District","<U+0646><U+0627><U+0644><U+0648><U+062A><U+200E>","Nalut|Nalut Lalut"
18,128,"LBY","Libya",18,"Sabha","LY.SA",NA,"","Shabiyah","District","<U+0633><U+0628><U+0647><U+0627><U+200E>","Sabhah|Sebha|Sabha"
19,128,"LBY","Libya",19,"Surt","LY.ST",NA,"","Shabiyah","District","<U+0633><U+0631><U+062A>","Sirte|Sirt"
20,128,"LBY","Libya",20,"Tripoli","LY.TR",NA,"","Shabiyah","District","<U+0634><U+0639><U+0628><U+064A><U+0629> <U+0637><U+0631><U+0627><U+0628><U+0644><U+0633><U+200E>","Tripoli|Shab'iya<U+1E97> <U+1E6C>arabulus"
21,128,"LBY","Libya",21,"Wadi al Hayat","LY.WH",NA,"","Shabiyah","District","<U+0648><U+0627><U+062F><U+064A> <U+0627><U+0644><U+062D><U+064A><U+0627><U+0629><U+200E>","Wadi Al Hayaa|Wadi al <U+1E24>ayah"
22,128,"LBY","Libya",22,"Wadi ash Shati'","LY.WS",NA,"","Shabiyah","District","<U+0648><U+0627><U+062F><U+064A> <U+0627><U+0644><U+0634><U+0627><U+0637><U+0626><U+200E>","Wadi Al Shatii|Shati|Wadi ash-Shati'| Wadi aš Ša<U+1E6D>i'| Aš Ša<U+1E6D>i' "
